"San Jose 
docks_available","San Jose Mean
Temperature",San Jose  MAX TemperatureF,San JoseMIN TemperatureF
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
15,29.63,16.67,63
14,29.63,16.67,63
14,29.63,16.67,63
